Language,WordNet SSID,Wikidata QID,WordNet Definition,Wikidata Definition,Exact,Accept,Wikidata
Old Prussian,https://en-word.net/id/oewn-06958779-n,https://www.wikidata.org/entity/Q35501,a dead language of the (non-German) Prussians (extinct after 1700); thought to belong to the Baltic branch of Indo-European,extinct Western Baltic language,Exact,TRUE,
Lithuanian,https://en-word.net/id/oewn-06958961-n,https://www.wikidata.org/entity/Q9083,the official language of Lithuania; belongs to the Baltic branch of Indo-European,Baltic language spoken in Lithuania,Exact,TRUE,
"Latvian, Lettish",https://en-word.net/id/oewn-06959117-n,https://www.wikidata.org/entity/Q9078,the official language of Latvia; belongs to the Baltic branch of Indo-European,"Baltic language, official in Latvia and the European Union",Exact,TRUE,
"Germanic, Germanic language",https://en-word.net/id/oewn-06959259-n,https://www.wikidata.org/entity/Q21200,a branch of the Indo-European family of languages; members that are spoken currently fall into two major groups: Scandinavian and West Germanic,branch of the Indo-European language family,Exact,TRUE,
"West Germanic, West Germanic language",https://en-word.net/id/oewn-06959585-n,https://www.wikidata.org/entity/Q26721,a branch of the Germanic languages,group of languages,Exact,TRUE,
"English, English language",https://en-word.net/id/oewn-06959794-n,https://www.wikidata.org/entity/Q1860,an Indo-European language belonging to the West Germanic branch; the official language of Britain and the United States and most of the commonwealth countries,West Germanic language,Exact,TRUE,
"American English, American language, American",https://en-word.net/id/oewn-06960241-n,https://www.wikidata.org/entity/Q7976,the English language as used in the United States,set of dialects of the English language spoken in the United States,Exact,TRUE,
"African American Vernacular English, AAVE, African American English, Black English, Black English Vernacular, Black Vernacular, Black Vernacular English, Ebonics",https://en-word.net/id/oewn-06960420-n,https://www.wikidata.org/entity/Q8013,a nonstandard form of American English characteristically spoken by African Americans in the United States,term for African American Vernacular English,Multiple,FALSE,
"African American Vernacular English, AAVE, African American English, Black English, Black English Vernacular, Black Vernacular, Black Vernacular English, Ebonics",https://en-word.net/id/oewn-06960420-n,https://www.wikidata.org/entity/Q48767245,a nonstandard form of American English characteristically spoken by African Americans in the United States,set of English dialects primarily spoken by most black people in the United States,Multiple,TRUE,
Middle English,https://en-word.net/id/oewn-06961523-n,,English from about 1100 to 1450,,None,FALSE,https://www.wikidata.org/wiki/Q36395
East Midland,https://en-word.net/id/oewn-06961705-n,,the dialect of Middle English that replaced West Saxon as the literary language and which developed into Modern English,,None,FALSE,https://www.wikidata.org/wiki/Q135913366
West Midland,https://en-word.net/id/oewn-06961883-n,,"a dialect of Middle English, spoken in the western half of the Old English dialect area Mercia",,None,FALSE,https://www.wikidata.org/wiki/Q135913362
Northern,https://en-word.net/id/oewn-06961969-n,,a dialect of Middle English that developed into Scottish Lallans,,None,FALSE,https://www.wikidata.org/wiki/Q135913354
Kentish,https://en-word.net/id/oewn-06962088-n,https://www.wikidata.org/entity/Q3195306,"a dialect of Middle English, originally spoken over the whole southeast part of England, including London and Essex",dialect of modern English,Multiple,FALSE,https://www.wikidata.org/wiki/Q135913371
Kentish,https://en-word.net/id/oewn-06962088-n,https://www.wikidata.org/entity/Q11687485,"a dialect of Middle English, originally spoken over the whole southeast part of England, including London and Essex",southern dialect of Old English spoken in the Anglo-Saxon kingdom of Kent,Multiple,FALSE,
"Southwestern, West Saxon",https://en-word.net/id/oewn-06962169-n,https://www.wikidata.org/entity/Q2658603,"a dialect of Middle English, spoken in the area west of Sussex and south and southwest of the Thames",dialect of Old English,Exact,FALSE,https://www.wikidata.org/wiki/Q135913374
Modern English,https://en-word.net/id/oewn-06962268-n,https://www.wikidata.org/entity/Q1649537,English since about 1450,stage of the English language from the contemporary period,Exact,TRUE,
"Old English, Anglo-Saxon, Anglo-Saxon language",https://en-word.net/id/oewn-06962353-n,https://www.wikidata.org/entity/Q42365,English prior to about 1100,earliest historical form of English,Exact,TRUE,
West Saxon,https://en-word.net/id/oewn-06962524-n,https://www.wikidata.org/entity/Q2658603,a literary dialect of Old English,dialect of Old English,Exact,TRUE,
Anglian,https://en-word.net/id/oewn-06962614-n,https://www.wikidata.org/entity/Q121142917,"comprises the Mercian and Northumbrian dialects, two of the major dialects of Old English often classified together as the Anglian dialects",Mercian and Northumbrian dialects of Old English,Exact,TRUE,
"Kentish, Jutish",https://en-word.net/id/oewn-06962708-n,https://www.wikidata.org/entity/Q3195306,"a southern dialect of Old English, spoken in the Anglo-Saxon kingdom of Kent",dialect of modern English,Multiple,FALSE,
"Kentish, Jutish",https://en-word.net/id/oewn-06962708-n,https://www.wikidata.org/entity/Q11687485,"a southern dialect of Old English, spoken in the Anglo-Saxon kingdom of Kent",southern dialect of Old English spoken in the Anglo-Saxon kingdom of Kent,Multiple,TRUE,
"Kentish, Jutish",https://en-word.net/id/oewn-06962708-n,https://www.wikidata.org/entity/Q1340322,"a southern dialect of Old English, spoken in the Anglo-Saxon kingdom of Kent",Danish dialect,Multiple,FALSE,
Canadian English,https://en-word.net/id/oewn-81058259-n,https://www.wikidata.org/entity/Q44676,the English language as used in Canada,set of varieties of the English language native to Canada,Exact,TRUE,
"British English, UK English",https://en-word.net/id/oewn-82423757-n,,English as spoken in the UK,,None,FALSE,https://www.wikidata.org/wiki/Q7979
cockney,https://en-word.net/id/oewn-06960779-n,,the nonstandard dialect of natives of the east end of London,,None,FALSE,https://www.wikidata.org/wiki/Q7992
geordie,https://en-word.net/id/oewn-06960911-n,,the nonstandard dialect of natives of Newcastle-upon-Tyne,,None,FALSE,https://www.wikidata.org/wiki/Q653421
"King's English, Queen's English",https://en-word.net/id/oewn-06961022-n,,English as spoken by educated persons in southern England,,None,FALSE,
"Received Pronunciation, Received Pronunciation language",https://en-word.net/id/oewn-06961158-n,,the approved pronunciation of British English; originally based on the King's English as spoken at public schools and at Oxford and Cambridge Universities (and widely accepted elsewhere in Britain); until recently it was the pronunciation of English used in British broadcasting,,None,FALSE,https://www.wikidata.org/wiki/Q7985
Oxford English,https://en-word.net/id/oewn-06962811-n,,the dialect of English spoken at Oxford University and regarded by many as affected and pretentious,,None,FALSE,no match
"Scottish, Scots, Scots English",https://en-word.net/id/oewn-06962971-n,https://www.wikidata.org/entity/Q14549,the dialect of English used in Scotland,West Germanic language,Exact,TRUE,
"Lallans, Scottish Lallans",https://en-word.net/id/oewn-06963162-n,https://www.wikidata.org/entity/Q14549,a dialect of English spoken in the Lowlands of Scotland,West Germanic language,Exact,TRUE,
"German, High German, German language, High German language",https://en-word.net/id/oewn-06963290-n,https://www.wikidata.org/entity/Q279350,the standard German language; developed historically from West Germanic,written and formal spoken German,Multiple,FALSE,
"German, High German, German language, High German language",https://en-word.net/id/oewn-06963290-n,https://www.wikidata.org/entity/Q188,the standard German language; developed historically from West Germanic,West Germanic language spoken mainly in Central Europe,Multiple,TRUE,
"German, High German, German language, High German language",https://en-word.net/id/oewn-06963290-n,https://www.wikidata.org/entity/Q52040,the standard German language; developed historically from West Germanic,West Germanic language family,Multiple,FALSE,
"Old High German, Old High German language",https://en-word.net/id/oewn-06963648-n,https://www.wikidata.org/entity/Q35218,High German prior to 1200,"earliest stage of the German language, spoken from 500/750 to 1050 AD",Exact,TRUE,
"Middle High German, Middle High German language",https://en-word.net/id/oewn-06963735-n,https://www.wikidata.org/entity/Q837985,High German from 1100 to 1500,historical form of High German,Exact,TRUE,
Yiddish,https://en-word.net/id/oewn-06963829-n,https://www.wikidata.org/entity/Q8641,a dialect of High German including some Hebrew and other words; spoken in Europe as a vernacular by many Jews; written in the Hebrew script,High German-derived language used by Ashkenazi Jews,Exact,TRUE,
Pennsylvania Dutch,https://en-word.net/id/oewn-06964877-n,https://www.wikidata.org/entity/Q22711,a dialect of High German spoken in parts of Pennsylvania and Maryland,variety of West Central German,Exact,TRUE,
"Low German, Plattdeutsch",https://en-word.net/id/oewn-06965011-n,https://www.wikidata.org/entity/Q25433,a German dialect spoken in northern Germany,West Germanic language spoken mainly in northern Germany and the eastern part of the Netherlands,Exact,TRUE,
"Old Saxon, Old Saxon language",https://en-word.net/id/oewn-06965162-n,https://www.wikidata.org/entity/Q35219,Low German prior to 1200,Germanic language spoken 8C – 12C,Exact,TRUE,
"Middle Low German, Middle Low German language",https://en-word.net/id/oewn-06965242-n,,Low German from 1100 to 1500,,None,FALSE,https://www.wikidata.org/wiki/Q505674
"Dutch, Dutch language",https://en-word.net/id/oewn-06965334-n,https://www.wikidata.org/entity/Q7411,the West Germanic language of the Netherlands,West Germanic language,Exact,TRUE,
"Flemish, Flemish dialect, Flemish language",https://en-word.net/id/oewn-06965467-n,https://www.wikidata.org/entity/Q7411,one of two official languages of Belgium; closely related to Dutch,West Germanic language,Multiple,FALSE,
"Flemish, Flemish dialect, Flemish language",https://en-word.net/id/oewn-06965467-n,https://www.wikidata.org/entity/Q34147,one of two official languages of Belgium; closely related to Dutch,variety of the Dutch language spoken in Flanders,Multiple,TRUE,
"Afrikaans, Taal, Taal language, Afrikaans language",https://en-word.net/id/oewn-06965623-n,https://www.wikidata.org/entity/Q14196,an official language of the Republic of South Africa; closely related to Dutch and Flemish,"West Germanic language, spoken in South Africa and Namibia",Exact,TRUE,
"Frisian, Frisian language",https://en-word.net/id/oewn-06967982-n,https://www.wikidata.org/entity/Q27175,a West Germanic language spoken in Friesland in the northwestern Netherlands; a near relative of English,Germanic language native to the Dutch region of Friesland,Multiple,TRUE,
"Frisian, Frisian language",https://en-word.net/id/oewn-06967982-n,https://www.wikidata.org/entity/Q25325,a West Germanic language spoken in Friesland in the northwestern Netherlands; a near relative of English,group of Germanic languages,Multiple,FALSE,
"Old Frisian, Old Frisian language",https://en-word.net/id/oewn-06968158-n,https://www.wikidata.org/entity/Q35133,the Frisian language until the 16th century; the Germanic language of ancient Frisia,West Germanic language spoken between the 8th and 16th centuries,Exact,TRUE,
"Proto-Norse, Proto-Norse language",https://en-word.net/id/oewn-06965794-n,,the Germanic language of Scandinavia up until about 700,,None,FALSE,https://www.wikidata.org/wiki/Q1671294
"Old Norse, Old Norse language",https://en-word.net/id/oewn-06965907-n,https://www.wikidata.org/entity/Q35505,the extinct Germanic language of medieval Scandinavia and Iceland from about to 700 to 1350,North Germanic language,Exact,TRUE,
Old Icelandic,https://en-word.net/id/oewn-06966072-n,https://www.wikidata.org/entity/Q34909,the extinct dialect of Old Norse that was spoken in Iceland up until about 1600,historic form of the Icelandic language,Exact,TRUE,
"Scandinavian, Scandinavian language, Nordic, Norse, North Germanic, North Germanic language",https://en-word.net/id/oewn-06966471-n,https://www.wikidata.org/entity/Q106085,the northern family of Germanic languages that are spoken in Scandinavia and Iceland,"branch of the Germanic languages spoken in the Nordic countries, Estonia, Germany, and Scotland",Exact,TRUE,
"Danish, Danish language",https://en-word.net/id/oewn-06966788-n,https://www.wikidata.org/entity/Q9035,a Scandinavian language that is the official language of Denmark,North Germanic language spoken in Denmark,Multiple,TRUE,
"Danish, Danish language",https://en-word.net/id/oewn-06966788-n,https://www.wikidata.org/entity/Q24204852,a Scandinavian language that is the official language of Denmark,language,Multiple,FALSE,
"Icelandic, Icelandic language",https://en-word.net/id/oewn-06966923-n,https://www.wikidata.org/entity/Q294,a Scandinavian language that is the official language of Iceland,North Germanic language mainly spoken in Iceland,Exact,TRUE,
"Norwegian, Norwegian language",https://en-word.net/id/oewn-06967043-n,https://www.wikidata.org/entity/Q9043,a Scandinavian language that is spoken in Norway,North Germanic language spoken in Norway,Exact,TRUE,
"Bokmal, Bokmaal, Dano-Norwegian, Bokmaal language, Dano-Norwegian language, Bokmal language",https://en-word.net/id/oewn-06967201-n,https://www.wikidata.org/entity/Q25167,book language; one of two official languages of Norway; closely related to Danish,one of two official written standards for the Norwegian language,Exact,TRUE,
"Riksmal, Riksmaal",https://en-word.net/id/oewn-06967380-n,https://www.wikidata.org/entity/Q37015,in 1929 this dialect of Norwegian was officially renamed Bokmal,unofficial Norwegian written standard language,Exact,TRUE,
"Nynorsk, New Norwegian, Landsmal, Landsmaal",https://en-word.net/id/oewn-06967508-n,https://www.wikidata.org/entity/Q25164,one of two official languages of Norway; based on rural dialects,one of two official written standards for the Norwegian language,Multiple,TRUE,
